"organism","project_home","project","n_samples","study_title","study_abstract"
"human","data_sources/sra","SRP086612",32,"Dual role of Act1 in keratinocyte differentiation and host defense: TRAF3IP2 silencing alters keratinocyte differentiation while inhibiting IL-17 responses","TRAF3IP2 is a candidate psoriasis susceptibility gene encoding Act1, a ubiquitin ligase that couples the IL-17 receptor to downstream signaling pathways. We investigated the role of Act1 in keratinocyte responses to IL-17 using a tetracycline inducible shRNA targeting TRAF3IP2. Tet exposure for seven days effectively silenced TRAF3IP2 mRNA and Act1 protein, resulting in 761 genes with significant changes in expression (495 down, 266 up, >1.5-fold, p<0.05). Gene Ontology analysis revealed that genes affected by TRAF3IP2 silencing are involved in epidermal differentiation, with early differentiation genes (KRT1, KRT10, DSC1, DSG1) being downregulated and late differentiation genes (SPRR2, SPRR3, LCE3) being upregulated.  AP1 binding sites were enriched upstream of genes up-regulated by TRAF3IP2 silencing. Correspondingly, nuclear expression of FosB and Fra1 was increased in TRAF3IP2-silenced cells.  Many genes involved in host defense were induced by IL-17 in a TRAF3IP2-dependent fashion. Inflammatory differentiation conditions (serum addition for 4 days postconfluence) markedly amplified these IL-17 responses, while increasing basal levels and TRAF3IP2 silencing-dependent upregulation of late differentiation genes. These findings suggest that TRAF3IP2 may alter both epidermal homeostasis and keratinocyte defense responses to influence psoriasis risk. Overall design: Immortalized N/TERT-2G keratinocytes were either untreated or treated with tetracycline (TET) for TRAF3IP2 knockdown. Additionally, cells were either untreated or treated with IL17, TNF, or IL17+TNF. The experiment was replicated 4 times (batch IDs 2, 3, 4 and 5). A total of 32 samples were generated for RNA-seq analysis (8 treatments x 4 replicated experiments = 32 RNA-seq samples)."
"human","data_sources/sra","ERP110814",30,"RNA-sequencing of the mRNA transcriptome in blood, across three time-points in severe psoriasis patients treated with the tumor necrosis factor (TNF) inhibitor, etanercept","Blood (mRNA and miRNA) and skin mRNA transcriptomes were investigated across three time-points in a pilot investigation of ten severe psoriasis patients, treated with the tumor necrosis factor (TNF) inhibitor, etanercept. We used illumina RNA-sequencing to analyse the mRNA transcriptome in blood"
"human","data_sources/sra","SRP057087",28,"Proteogenomic analysis of psoriasis reveals discordant and concordant changes in mRNA and protein abundance","Background: Psoriasis is a chronic disease characterized by the development of scaly red skin lesions and possible co-morbid conditions. The psoriasis lesional skin transcriptome has been extensively investigated, but mRNA levels do not necessarily reflect protein abundance.  Methods: Lesional (PP) and uninvolved (PN) skin samples from 14 patients were analyzed using high-throughput complementary DNA sequencing (RNA-seq) and liquid chromatography-tandem mass spectrometry (LC-MS/MS).  Results: We identified 4122 differentially expressed genes (DEGs) along with 748 differentially expressed proteins (DEPs). Global shifts in mRNA were modestly correlated with changes in protein abundance (r = 0.40). We identified similar numbers of increased and decreased DEGs, but 4-fold more increased than decreased DEPs. Ribosomal subunit and translation proteins were elevated within lesions, without a corresponding shift in mRNA expression (RPL3, RPS8, RPL11). We identified 209 differentially expressed genes/proteins (DEGPs) with corresponding trends at the transcriptome and proteomic levels. Most DEGPs were similarly altered in at least one other skin disease. Psoriasis-specific and non-specific DEGPs had distinct cytokine-response patterns, with only the former showing disproportionate induction by IL-17A in cultured keratinocytes.  Conclusions: Our findings reveal global imbalance between the number of increased and decreased proteins in psoriasis lesions, consistent with heightened translation. This effect could not have been discerned from mRNA profiling data alone. We have also identified high-confidence DEGPs and shown that only those most specific to psoriasis are enriched with IL-17A targets. Overall design: RNA-seq-based comparison between gene expression in psoriasis lesions and uninvolved skin from 14 patients"
"human","data_sources/sra","SRP154474",28,"RNA-seq and flow-cytometry of conventional, scalp, and palmoplantar psoriasis reveal shared and distinct molecular pathways","It has long been recognized that anatomic location is an important feature for defining distinct subtypes of plaque psoriasis. However, little is known about the molecular differences between scalp, palmoplantar, and conventional plaque psoriasis. To investigate the molecular heterogeneity of these psoriasis subtypes, we performed RNA-seq and flow cytometry on skin samples from individuals with scalp, palmoplantar, and conventional plaque psoriasis, along with samples from healthy control patients. We performed differential expression analysis and network analysis using weighted gene coexpression network analysis (WGCNA). Our analysis revealed a core set of 763 differentially expressed genes common to all sub-types of psoriasis. In contrast, we identified 605, 632, and 262 genes uniquely differentially expressed in conventional, scalp, and palmoplantar psoriasis, respectively. WGCNA and pathway analysis revealed biological processes for the core genes as well as subtype-specific genes. Flow cytometry analysis revealed a shared increase in the percentage of CD4+ T regulatory cells in all psoriasis subtypes relative to controls, whereas distinct psoriasis subtypes displayed differences in IL-17A, IFN-gamma, and IL-22 production. This work reveals the molecular heterogeneity of plaque psoriasis and identifies subtype-specific signaling pathways that will aid in the development of therapy that is appropriate for each subtype of plaque psoriasis. Overall design: Transcriptomic profiles were obtained from palmoplantar (n = 3), scalp (n = 8), and conventional psoriatic skin (n = 8) as well as healthy control skin (n = 9) biopsies on the Illumina HiSeq 2000/4000 platforms. Multi-parameter FACS was also performed on each biopsy sample to obtain T cell populations (CD4+ T effectors, CD8+ T cells, and CD4+Foxp3+ Tregs)."
"human","data_sources/sra","SRP126422",24,"RNA-seq identifies a diminished differentiation gene signature in primary monolayer keratinocytes grown from lesional and uninvolved psoriatic skin","Keratinocyte (KC) hyper-proliferation and epidermal thickening are characteristic features of psoriasis lesions, but the specific contributions of KCs to plaque formation are not fully understood. This study used RNA-seq to investigate the transcriptome of primary monolayer KC cultures grown from lesional (PP) and non-lesional (PN) biopsies of psoriasis patients and control subjects (NN). Whole skin biopsies from the same subjects were evaluated concurrently. RNA-seq analysis of whole skin identified a larger number of psoriasis-increased differentially expressed genes (DEGs), but analysis of KC cultures identified more PP- and PN-decreased DEGs. These latter DEG sets overlapped more strongly with genes near loci identified by psoriasis genome-wide association studies and were enriched for genes associated with epidermal differentiation. Consistent with this, the frequency of AP-1 motifs was elevated in regions upstream of PN-KC-decreased DEGs. A subset of these genes belonged to the same co-expression module, mapped to the epidermal differentiation complex, and exhibited differentiation-dependent expression. These findings demonstrate a decreased differentiation gene signature in PP/PN-KCs that had not been identified by pre-genomic studies of patient-derived monolayers. This may reflect intrinsic defects limiting psoriatic KC differentiation capacity, which may contribute to compromised barrier function in normal-appearing uninvolved psoriatic skin. Overall design: Samples were obtained from lesional skin of psoriasis patients (PP), uninvolved skin of psoriasis patients (PN), and normal skin from control individuals (NN). RNA was extracted from full-thickness skin biopsies of keratinocytes (KCs) grown as monolayer cutures. Samples were obtained from 4 psoriasis patients (individuals 1 - 4) and 4 control subjects (individuals 5 - 8)."
"mouse","data_sources/sra","SRP102352",22,"TWEAK mediates inflammation in experimental atopic dermatitis and psoriasis","Atopic dermatitis and psoriasis are driven by alternate type 2 and type 17 immune responses, but some proteins might be critical to both diseases. We show that a deficiency of the TNF superfamily molecule TWEAK (TNFSF12) in mice results in defective maintenance of atopic dermatitis-specific Th2 and psoriasis-specific Th17 cells in the skin, and impaired expression of disease-characteristic chemokines and cytokines, such as CCL17 and TSLP in atopic dermatitis, and CCL20 and IL-19 in psoriasis. The TWEAK receptor, Fn14, is upregulated in keratinocytes and dermal fibroblasts, and TWEAK induces these cytokines and chemokines alone and in synergy with the signature T helper cytokines of either disease, IL-13 and IL-17. Furthermore, subcutaneous injection of recombinant TWEAK into naïve mice induces cutaneous inflammation with histological and molecular signs of both diseases. TWEAK is therefore a critical contributor to skin inflammation and a possible therapeutic target in atopic dermatitis and psoriasis. Overall design: Eight- to 12-week old male mice were used. TWEAK-deficient animals were bred in house on the C57BL/6 background, and Fn14-deficient animals on a BALB/c.  Atopic Dermatitis-like disease was induced by epicutaneous treatment with HDM extract (10 µg/mouse and treatment) and SEB (500 ng/mouse and treatment) given in 2 cycles on days 1 and 4, and 14 and 17, on the shaved and tape-stripped back skin over a 23 day period."
"human","data_sources/sra","SRP173379",19,"Neutrophils RNAseq from Generalised Pustular Psoriasis patients and healthy individuals","NeutrophilsRNAseq Overall design: 8 affected  and 11 healthy individuals"
"human","data_sources/sra","SRP144926",18,"I?B? is a key transcriptional regulator of IL-36-driven psoriasis-related gene expression in keratinocytes","Human primary keratinocytes were lentivirally transfected with control or NFKBIZ shRNA followed by stimulation with 1.5 and 24 h with IL-36?. Total RNA was extracted using TRIZOL. After mRNA purification with the NEBNext mRNA Isolation Kit, NEBNext Ultra RNA Library Preparation Kit was used for library construction."
"mouse","data_sources/sra","SRP161181",18,"Hair follicle stem cells (HF-SCs) can initiate psoriasis-like disease in mice","Using lineage-tracing in a well-established psoriasis-like mouse model with inducible epidermal deletion of c-Jun and JunB, we found that mutant HF-SCs survive and express a broad group of pro-inflammatory cytokines, whereas mutant inter-follicular epidermal cells (IFE) disappear over time. Mutant HF-SCs initiate epidermal hyperplasia and skin inflammation by priming neighboring non-mutant epidermal cells to acquire a psoriasis-like phenotype. To explore the molecular mechanisms that govern the behavior of these distinct mutant and non-mutant HF-SCs and IFE cell populations during psoriasis-like disease, RNA sequencing analyses of sorted GFP+, Tomato+ HF-SCs and b-KCs from DKO*-mT/mG mice. Overall design: Whole-genome transcriptomic analysis was performed by Next-Gen RNA-sequencing in four groups of psoriatic-like epidermal subpopulations: MutantGFP, non-mutantTom basal keratinocytes, mutantGFP and non-mutantTom hair follicle stem cells were purified from the ears of three independent psoriatic-like DKO* mice after 7 days of tamoxifen induction. RNA-seq was also performed in control basal keratinocytes and hair follicle stem cells from the ears of three Control-mT/mG mice."
"human","data_sources/sra","SRP173378",16,"Whole blood RNAseq from Generalised Pustular Psoriasis patients and healthy individuals","Whole blood RNAseq Overall design: 9 affected individuals and 7 controls"
"human","data_sources/sra","SRP078169",15,"RNA-seq analysis of activated plasmacytoid dendritic cell subsets after viral infection","Hematopoiesis generates cell diversity through evolutionarily-determined differentiation programs defined at steady-state conditions. Here, we show that peripheral innate immune activation can generate cell diversity and functional specialization during the activation process. We found that activation of steady state human plasmacytoid pre-dendritic cells (pDCs) with a single microbial stimulus induced their differentiation into three phenotypically, morphologically, and functionally distinct subsets, in the absence of cell division: P1 (PD-L1+CD80-), P2 (PD-L1+CD80+) and P3 (PD-L1-CD80+). Different stimuli induced variable proportions of the subsets, suggesting that steady state pDC are multipotent. P1-pDCs display a plasmacytoid morphology and strong specialization on IFN production, whereas P3-pDCs adopt a dendritic morphology and adaptive immune functions. P2-pDCs have an intermediate functional profile. We found that a P1-pDC phenotype is present in human autoimmune diseases associated to type I IFN production as lupus and psoriasis, supporting their pathophysiological relevance. We propose that peripheral innate activation represents a differentiation mechanism to generate subsets diversity and functional complementarity in human pDCs. Overall design: 15 samples: medium (control condition), ex-vivo, P1, P2 and P3, each from 3 healthy donors. Ex-vivo plasmacytoid dendritic cells from the blood of healthy human donors were treated for 24h with influenza virus. Treated cells were sorted as P1, P2, and P3 subsets depending on surface markers: P1 (PD-L1+CD80-), P2 (PD-L1+CD80+) and P3 (PD-L1-CD80+). Non-treated control cells correspond to  pDCs  kept in medium."
"human","data_sources/sra","SRP132160",15,"RNA-seq analysis of PBMCs from generalized pustular psoriasis patients","To better understand the disease mechanism of generalized pustular psoriasis (GPP), we performed a transcriptome analysis to profile the gene expression of peripheral blood mononuclear cells (PBMCs) from patients enrolled at the time of diagnosis and receiving follow-up treatment for up to 6 months."
"human","data_sources/sra","SRP213063",12,"Homo sapiens Transcriptome or Gene expression","Angelica polysaccharide (APS) is one of the major active components isolated from Angelica sinensis. Evidences suggested APS may have therapeutic potential for psoriasis. HaCaT cell line was commonly used as an in vitro model to study psoriasis. In the present study, RNA-sequencing (RNA-seq) was performed to investigate the underlying mechanism of APS. Different concentrations of APS (0mg/mL, 50 mg/L, 100 mg/L and 200mg/L) were incubated with HaCaT cells for 36 h and transcriptome sequenced. Comparison of the gene expression profiles between the CK group (i.e., Control group) and ASP groups revealed dramatic differences. All the differentially expressed genes (DEGs) were then classified into 20 expression profiles by trend analysis. Significant enriched trend clusters were then analyzed. Interestingly, cell proliferation related gene ontology (GO) terms were mostly dispersed in the profile 2 and 17. Based on our functional annotation results and reported literature, authors suspected that SERPINE1, SMAD6 and CTGF, together with TGF-ß, may closely relevant to the anti-proliferation effect of APS."
"mouse","data_sources/sra","SRP065542",11,"RNA-seq analysis of IMQ-treated wt and Trex2-/- skin","TREX2 is a keratinocyte specific 3’-deoxyribonuclease that participates in the maintenance of skin homeostasis upon damage. This transcriptome analysis identified multiple genes and pathways deregulated by TREX2 loss in the IMQ-induced psoriasis-like model in mouse skin. Overall design: mRNA sequencing of 5 biological replicates of skin from wild-type mice treated with Imiquimod and 6 of Trex2 knockout mice treated with Imiquimod"
"human","data_sources/sra","ERP017153",10,"IL-12 protects from psoriasiform skin inflammation","Neutralization of the common p40-subunit of IL-12/23 in psoriasis patients has led to a breakthrough in the management of moderate to severe disease. Aside from neutralizing IL-23, which is thought to be responsible for the curative effect, anti-p40 therapy also interferes with IL-12 signalling and type 1 immunity. Here we dissect the individual contribution of these two cytokines to the formation of psoriatic lesions and understand the effect of therapeutic co-targeting of IL-12 and IL-23 in psoriasis. Using a preclinical model for psoriatic plaque formation we show that IL-12, in contrast to IL-23, has a regulatory function by restraining the invasion of an IL-17 committed ?dT (?dT17) cell subset. We discover that IL-12 receptor signalling in keratinocytes initiates a protective transcriptional program that limits skin inflammation, suggesting that collateral targeting of IL-12 by anti-p40 monoclonal antibodies is counterproductive in the therapy of psoriasis."
"mouse","data_sources/sra","SRP082579",10,"Induction of alternative proinflammatory cytokines accounts for sustained psoriasiform skin inflammation in IL-17C+IL-6KO mice [RNA-Seq]","IL-6 inhibition has been unsuccessful in treating psoriasis, despite high levels of tissue and serum IL-6 in patients. Additionally, de novo psoriasis onset has been reported following IL-6 blockade in rheumatoid arthritis patients. To explore mechanisms underlying these clinical observations, we backcrossed an established psoriasiform mouse model (IL-17C+ mice) with IL-6 deficient mice (IL-17C+KO) and examined the cutaneous phenotype.  IL-17C+KO mice initially exhibited decreased skin inflammation, however this decrease was transient and reversed rapidly, concomitant with increases in skin Tnf, Il36a/ß/?, Il24, epigen and S100a8/a9 to levels higher than those found in IL-17C+ mice. Comparison of IL-17C+ and IL-17C+KO mouse skin transcriptomes with that of human psoriasis skin, revealed significant correlation among transcripts of psoriasis patient skin and IL-17C+KO mouse skin, and confirmed an exacerbation of the inflammatory signature in IL-17C+KO mice that aligns closely with human psoriasis. Transcriptional analyses of IL-17C+ and IL-17C+KO primary keratinocytes confirmed increased expression of proinflammatory molecules, suggesting that in the absence of IL-6, keratinocytes increase production of numerous additional proinflammatory cytokines. These preclinical findings may provide insight into why arthritis patients being treated with IL-6 inhibitors develop new onset psoriasis and why IL-6 blockade for the treatment of psoriasis has not been clinically effective. Overall design: Skin biopsies were obtained from IL-17C+ mice (n = 3) and IL-17C+KO mice (n = 2). Paired lesional and uninvolved skin biopsies were obtained from each mouse (n = 10 biopsies total from 5 mice). Comparisons were made between lesional and uninvolved skin from IL-17C+ and IL-17C+KO mice."
"mouse","data_sources/sra","ERP017153",10,"IL-12 protects from psoriasiform skin inflammation","Neutralization of the common p40-subunit of IL-12/23 in psoriasis patients has led to a breakthrough in the management of moderate to severe disease. Aside from neutralizing IL-23, which is thought to be responsible for the curative effect, anti-p40 therapy also interferes with IL-12 signalling and type 1 immunity. Here we dissect the individual contribution of these two cytokines to the formation of psoriatic lesions and understand the effect of therapeutic co-targeting of IL-12 and IL-23 in psoriasis. Using a preclinical model for psoriatic plaque formation we show that IL-12, in contrast to IL-23, has a regulatory function by restraining the invasion of an IL-17 committed ?dT (?dT17) cell subset. We discover that IL-12 receptor signalling in keratinocytes initiates a protective transcriptional program that limits skin inflammation, suggesting that collateral targeting of IL-12 by anti-p40 monoclonal antibodies is counterproductive in the therapy of psoriasis."
"mouse","data_sources/sra","SRP114712",8,"Electrophilic stress induced by dimethyl itaconate regulates IkB-zeta-mediated inflammatory responses","Interplay between metabolic state of the cell and its ability to undergo immunological activation has been recently recognized as a treasure chest of novel fundamental regulatory principles. Itaconate, and its membrane permeable derivative dimethyl itaconate (DI) were recently shown to selectively inhibit subset of cytokines during macrophage activation (e.g. Il1b, il6, Il12b but not TNF), yet the precise mechanism of this effect remained unclear. We find that selectivity of DI action stems from the inhibitory effects of electrophilic stress exerted by DI on IkB-zeta protein translation, leading to selective control of the secondary wave of Nfkb-signaling. Mechanistically, DI leads to glutathione depletion and subsequent activation of both Nrf2-dependent and Nrf2-independent stress responses. We find that IkB-zeta regulation is carried out in Nrf2-independent manner, and identify Atf3 as a key mediator of DI effects on IkB-zeta/IL6. This inhibitory effect is conserved across species and cell types, as evident from inhibition of IkB-zeta production in activating human monocytes and IL-17A stimulated keratinocytes of both human and mice. Finally, DI administration in vivo ameliorated IL17/IkB-zeta-driven skin pathology in the mouse model of psoriasis, highlighting therapeutic potential of this regulatory pathway. Overall design: Bone marrow-derived macrophages (BMDMs) from WT and Nrf2–/– mice were derived in 7 days in MCSF supplemented complete RPMI. Some samples cells were stimulated with 250 uM DimethylItaconate(DI) for 12 hours prior to collection for RNA-seq."
